Account|Type|Balance b/f|Balance c/f|Balance date|TB_Movement|GL_Movement|difference
ACP00081|P&L|0.0|-16279.96|20161231|-16279.96|-17017.89|737.9300000000003
ACB00082|BS|760.09|-4041.02|20161231|-4801.11|-4063.18|-737.9299999999998
ACP00071|P&L|0.0|-28547.84|20161231|-28547.84|-29260.31|712.4700000000012
ACB00091|BS|628.24|3054.74|20161231|2426.5|3138.97|-712.4699999999998
ACP00017|P&L|654.01|24449.74|20161231|23795.73|23123.06|672.6699999999983
ACB00076|BS|768.49|-48456.11|20161231|-49224.6|-48551.93|-672.6699999999983
ACB00037||||nan||19808.54|
ACP00001||||nan||-3817.92|
ACP00041||||nan||-14365.77|
ACP00046||||nan||1825.79|
ACP00086||||nan||-7263.37|
