Account|Type|Balance b/f|Balance c/f|Balance date
ACB00003|BS|673.1|72348.68|20161231
ACB00007|BS|-673.1|20045.09|20161231
ACB00010|BS|748.16|-30340.79|20161231
ACB00012|BS|-748.16|188.39|20161231
ACB00015|BS|814.96|48294.11|20161231
ACB00017|BS|-814.96|10659.8|20161231
ACB00021|BS|835.56|18357.33|20161231
ACB00032|BS|-835.56|3406.8|20161231
ACB00034|BS|759.6|26505.4|20161231
ACB00036|BS|-759.6|-39128.8|20161231
ACB00041|BS|892.09|38205.11|20161231
ACB00042|BS|-892.09|2702.54|20161231
ACB00045|BS|757.84|-7526.07|20161231
ACB00048|BS|-757.84|21594.74|20161231
ACB00059|BS|553.44|51000.49|20161231
ACB00061|BS|-553.44|24982.39|20161231
ACB00062|BS|628.09|55656.2|20161231
ACB00064|BS|-628.09|14678.19|20161231
ACB00067|BS|592.83|20806.15|20161231
ACB00068|BS|-592.83|45122.23|20161231
ACB00071|BS|718.58|-11531.69|20161231
ACB00074|BS|-718.58|36583.58|20161231
ACB00077|BS|875.01|-11297.11|20161231
ACB00078|BS|-875.01|-35111.84|20161231
ACB00081|BS|730.21|34961.83|20161231
ACB00085|BS|-730.21|14754.11|20161231
ACB00090|BS|570.18|-23994.84|20161231
ACB00097|BS|-570.18|-35883.43|20161231
ACB00100|BS|670.95|37955.31|20161231
ACB00105|BS|-670.95|-4564.58|20161231
ACB00108|BS|742.19|-4436.01|20161231
ACB00110|BS|-742.19|27390.41|20161231
ACP00001|P&L|609.11|-10970.29|20161231
ACP00002|P&L|-609.11|14677.36|20161231
ACP00004|P&L|607.64|20588.49|20161231
ACP00005|P&L|-607.64|-21323.97|20161231
ACP00006|P&L|677.33|-10626.79|20161231
ACP00008|P&L|-677.33|7343.57|20161231
ACP00009|P&L|850.5|-21822.9|20161231
ACP00011|P&L|-850.5|-8153.54|20161231
ACP00013|P&L|722.12|-32867.32|20161231
ACP00014|P&L|-722.12|19832.75|20161231
ACP00016|P&L|773.48|-3680.75|20161231
ACP00018|P&L|-773.48|-9233.61|20161231
ACP00019|P&L|674.68|-33824.78|20161231
ACP00020|P&L|-674.68|-1521.98|20161231
ACP00022|P&L|806.16|-6812.86|20161231
ACP00023|P&L|-806.16|-16554.86|20161231
ACP00024|P&L|522.16|6258.13|20161231
ACP00025|P&L|-522.16|17933.51|20161231
ACP00026|P&L|808.05|3590.15|20161231
ACP00027|P&L|-808.05|-6338.56|20161231
ACP00028|P&L|643.17|-9284.5|20161231
ACP00029|P&L|-643.17|-32951.2|20161231
ACP00030|P&L|772.19|-15911.95|20161231
ACP00031|P&L|-772.19|-18015.27|20161231
ACP00033|P&L|663.91|17802.13|20161231
ACP00035|P&L|-663.91|-14622.07|20161231
ACP00037|P&L|489.03|5389.24|20161231
ACP00038|P&L|-489.03|1375.84|20161231
ACP00039|P&L|821.47|-30868.49|20161231
ACP00040|P&L|-821.47|-16287.4|20161231
ACP00043|P&L|647.39|-54927.22|20161231
ACP00044|P&L|-647.39|-14412.12|20161231
ACP00046|P&L|0.0|-21602.02|20161231
ACP00047|P&L|0.0|-17733.78|20161231
ACP00049|P&L|0.0|13377.73|20161231
ACP00050|P&L|0.0|16271.93|20161231
ACP00051|P&L|0.0|13377.45|20161231
ACP00052|P&L|0.0|-5214.12|20161231
ACP00053|P&L|0.0|11.72|20161231
ACP00054|P&L|0.0|-4756.29|20161231
ACP00055|P&L|0.0|-37137.57|20161231
ACP00056|P&L|0.0|-2310.04|20161231
ACP00057|P&L|0.0|-59592.06|20161231
ACP00058|P&L|0.0|-9738.22|20161231
ACP00060|P&L|0.0|31308.4|20161231
ACP00063|P&L|0.0|-1665.34|20161231
ACP00065|P&L|0.0|16155.95|20161231
ACP00066|P&L|0.0|-45628.43|20161231
ACP00069|P&L|0.0|5859.49|20161231
ACP00070|P&L|0.0|-9327.73|20161231
ACP00072|P&L|0.0|3371.76|20161231
ACP00073|P&L|0.0|-30837.89|20161231
ACP00075|P&L|0.0|-2778.12|20161231
ACP00076|P&L|0.0|-17377.61|20161231
ACP00079|P&L|0.0|14052.69|20161231
ACP00080|P&L|0.0|12934.99|20161231
ACP00082|P&L|0.0|2714.39|20161231
ACP00083|P&L|0.0|35068.56|20161231
ACP00084|P&L|0.0|-10209.9|20161231
ACP00086|P&L|0.0|-25583.67|20161231
ACP00087|P&L|0.0|12132.04|20161231
ACP00088|P&L|0.0|12926.96|20161231
ACP00089|P&L|0.0|12162.96|20161231
ACP00091|P&L|0.0|22471.29|20161231
ACP00092|P&L|0.0|21306.16|20161231
ACP00093|P&L|0.0|5050.66|20161231
ACP00094|P&L|0.0|-8430.83|20161231
ACP00095|P&L|0.0|14614.42|20161231
ACP00096|P&L|0.0|-19736.32|20161231
ACP00098|P&L|0.0|9950.44|20161231
ACP00099|P&L|0.0|-41702.23|20161231
ACP00101|P&L|0.0|22024.88|20161231
ACP00102|P&L|0.0|11832.97|20161231
ACP00103|P&L|0.0|-20353.79|20161231
ACP00104|P&L|0.0|-34642.98|20161231
ACP00106|P&L|0.0|-3152.73|20161231
ACP00107|P&L|0.0|-24404.18|20161231
ACP00109|P&L|0.0|-1224.45|20161231
